colony,day_removed,id,gametocysts,oocysts,par_presence,experimental_repeat
A,10,B3,0,0,0,1
A,10,B4,pupated,pupated,pupated,1
A,10,B5,29,4,1,1
A,10,B6,0,0,0,1
A,10,B7,0,0,0,1
A,10,B8,0,0,0,1
A,10,B9,pupated,pupated,pupated,1
A,10,B10,0,0,0,1
A,10,B11,0,0,0,1
A,10,B12,0,0,0,1
A,10,C1,0,0,0,1
A,10,C2,0,0,0,1
A,10,C3,0,0,0,1
A,10,C4,123,131,1,1
A,10,C5,0,0,0,1
A,10,C6,0,0,0,1
A,10,C7,0,0,0,1
A,10,C8,0,0,0,1
A,10,C9,0,0,0,1
A,10,C10,0,0,0,1
A,10,C11,0,0,0,1
A,10,C12,0,0,0,1
A,10,D1,0,0,0,1
A,10,D2,0,0,0,1
A,10,D3,9,11,1,1
A,10,D4,0,0,0,1
A,10,D5,0,0,0,1
A,10,D6,109,93,1,1
A,10,D7,0,0,0,1
A,10,D8,0,0,0,1
A,10,D9,0,0,0,1
A,10,D10,0,0,0,1
A,10,D11,0,0,0,1
A,10,D12,0,0,0,1
B,10,A1,0,0,0,1
B,10,A2,0,pupated,pupated,1
B,10,A3,0,0,0,1
B,10,A4,0,0,0,1
B,10,A5,0,0,0,1
B,10,A6,0,0,0,1
B,10,A7,pupated,pupated,pupated,1
B,10,A8,0,0,0,1
B,10,A9,0,0,0,1
B,10,A10,0,0,0,1
B,10,A11,0,0,0,1
B,10,A12,0,0,0,1
B,10,B1,pupated,pupated,pupated,1
B,10,B2,0,0,0,1
B,10,B3,0,0,0,1
B,10,B4,0,0,0,1
B,10,B5,4,4,1,1
B,10,B6,0,pupated,pupated,1
B,10,B7,0,0,0,1
B,10,B8,0,pupated,pupated,1
B,10,B9,0,0,0,1
B,10,B10,0,0,0,1
B,10,B11,0,pupated,pupated,1
B,10,B12,0,0,0,1
B,10,C1,0,0,0,1
B,10,C2,0,pupated,pupated,1
B,10,C3,pupated,pupated,pupated,1
B,10,C4,0,0,0,1
B,10,C5,0,0,0,1
B,10,C6,0,0,0,1
B,10,C7,0,0,0,1
B,10,C8,0,0,0,1
B,10,C9,0,pupated,pupated,1
B,10,C10,0,0,0,1
B,10,C11,0,0,0,1
B,10,C12,0,0,0,1
B,10,D1,0,0,0,1
B,10,D2,24,135,1,1
B,10,D3,0,0,0,1
B,10,D4,5,8,1,1
B,10,D5,0,pupated,pupated,1
B,10,D6,0,0,0,1
B,10,D7,0,pupated,pupated,1
B,10,D8,0,0,0,1
B,10,D9,0,0,0,1
B,10,D10,0,0,0,1
B,10,D11,0,0,0,1
B,10,D12,0,0,0,1
A,11,E1,0,0,0,1
A,11,E2,0,0,0,1
A,11,E3,0,0,0,1
A,11,E4,0,pupated,pupated,1
A,11,E5,0,0,0,1
A,11,E6,0,0,0,1
A,11,E7,0,0,0,1
A,11,E8,0,pupated,pupated,1
A,11,E9,0,pupated,pupated,1
A,11,E10,0,0,0,1
A,11,E11,0,0,0,1
A,11,E12,0,0,0,1
A,11,F1,0,0,0,1
A,11,F2,0,0,0,1
A,11,F3,0,0,0,1
A,11,F4,0,0,0,1
A,11,F5,0,0,0,1
A,11,F6,0,0,0,1
A,11,F7,pupated,pupated,pupated,1
A,11,F8,0,0,0,1
A,11,F9,0,0,0,1
A,11,F10,pupated,pupated,pupated,1
A,11,F11,0,0,0,1
A,11,F12,0,0,0,1
A,11,G1,0,0,0,1
A,11,G2,0,0,0,1
A,11,G3,0,0,0,1
A,11,G4,0,0,0,1
A,11,G5,0,0,0,1
A,11,G6,0,0,0,1
A,11,G7,0,0,0,1
A,11,G8,0,0,0,1
A,11,G9,0,0,0,1
A,11,G10,0,0,0,1
A,11,G11,0,0,0,1
A,11,G12,0,0,0,1
A,11,H1,0,0,0,1
A,11,H2,0,0,0,1
A,11,H3,62,35,1,1
A,11,H4,0,0,0,1
A,11,H5,0,0,0,1
A,11,H6,0,0,0,1
A,11,H7,0,0,0,1
A,11,H8,0,0,0,1
A,11,H9,0,0,0,1
A,11,H10,0,0,0,1
A,11,H11,0,0,0,1
A,11,H12,0,0,0,1
B,11,E1,0,0,0,1
B,11,E2,0,0,0,1
B,11,E3,0,0,0,1
B,11,E4,0,0,0,1
B,11,E5,dead,dead,dead,1
B,11,E6,0,0,0,1
B,11,E7,0,0,0,1
B,11,E8,0,0,0,1
B,11,E9,0,0,0,1
B,11,E10,0,0,0,1
B,11,E11,0,0,0,1
B,11,E12,0,pupated,pupated,1
B,11,F1,0,0,0,1
B,11,F2,0,pupated,pupated,1
B,11,F3,0,0,0,1
B,11,F4,0,0,0,1
B,11,F5,0,0,0,1
B,11,F6,0,0,0,1
B,11,F7,0,0,0,1
B,11,F8,0,0,0,1
B,11,F9,0,0,0,1
B,11,F10,0,pupated,pupated,1
B,11,F11,0,0,0,1
B,11,F12,0,0,0,1
B,11,G1,0,0,0,1
B,11,G2,0,0,0,1
B,11,G3,0,0,0,1
B,11,G4,0,0,0,1
B,11,G5,0,0,0,1
B,11,G6,0,0,0,1
B,11,G7,0,0,0,1
B,11,G8,0,0,0,1
B,11,G9,pupated,pupated,pupated,1
B,11,G10,0,0,0,1
B,11,G11,0,0,0,1
B,11,G12,0,0,0,1
B,11,H1,0,0,0,1
B,11,H2,0,0,0,1
B,11,H3,0,pupated,pupated,1
B,11,H4,0,0,0,1
B,11,H5,0,0,0,1
B,11,H6,0,pupated,pupated,1
B,11,H7,0,0,0,1
B,11,H8,0,0,0,1
B,11,H9,pupated,pupated,pupated,1
B,11,H10,59,29,1,1
B,11,H11,0,pupated,pupated,1
B,11,H12,0,0,0,1
A,8,A1,0,0,0,2
A,8,A2,0,0,0,2
A,8,A3,0,0,0,2
A,8,A4,0,0,0,2
A,8,A5,0,0,0,2
A,8,A6,0,0,0,2
A,8,A7,0,0,0,2
A,8,A8,0,0,0,2
A,8,A9,0,0,0,2
A,8,A10,0,0,0,2
A,8,A11,0,0,0,2
A,8,A12,0,0,0,2
A,8,B1,0,0,0,2
A,8,B2,0,0,0,2
A,8,B3,0,0,0,2
A,8,B4,0,0,0,2
A,8,B5,0,0,0,2
A,8,B6,0,0,0,2
A,8,B7,0,0,0,2
A,8,B8,0,0,0,2
A,8,B9,0,0,0,2
A,8,B10,0,0,0,2
A,8,B11,0,0,0,2
A,8,B12,0,0,0,2
A,8,C1,0,0,0,2
A,8,C2,0,0,0,2
A,8,C3,0,0,0,2
A,8,C4,0,0,0,2
A,8,C5,0,0,0,2
A,8,C6,0,0,0,2
A,8,C7,0,0,0,2
A,8,C8,0,0,0,2
A,8,C9,0,0,0,2
A,8,C10,0,0,0,2
A,8,C11,0,0,0,2
A,8,C12,0,0,0,2
A,8,D1,80,12,1,2
A,8,D2,0,0,0,2
A,8,D3,0,0,0,2
A,8,D4,11,20,1,2
A,8,D5,0,0,0,2
A,8,D6,0,0,0,2
A,8,D7,29,147,1,2
A,8,D8,0,0,0,2
A,8,D9,0,0,0,2
A,8,D10,0,0,0,2
A,8,D11,0,0,0,2
A,8,D12,0,0,0,2
B,8,A1,0,0,0,2
B,8,A2,0,0,0,2
B,8,A3,0,0,0,2
B,8,A4,0,0,0,2
B,8,A5,0,0,0,2
B,8,A6,0,0,0,2
B,8,A7,0,0,0,2
B,8,A8,0,0,0,2
B,8,A9,81,88,1,2
B,8,A10,130,8,1,2
B,8,A11,0,0,0,2
B,8,A12,0,0,0,2
B,8,B1,0,0,0,2
B,8,B2,0,0,0,2
B,8,B3,0,0,0,2
B,8,B4,0,0,0,2
B,8,B5,0,0,0,2
B,8,B6,0,0,0,2
B,8,B7,0,0,0,2
B,8,B8,0,0,0,2
B,8,B9,0,0,0,2
B,8,B10,0,0,0,2
B,8,B11,22,27,1,2
B,8,B12,0,0,0,2
B,8,C1,5,7,1,2
B,8,C2,0,0,0,2
B,8,C3,0,0,0,2
B,8,C4,0,0,0,2
B,8,C5,0,0,0,2
B,8,C6,0,0,0,2
B,8,C7,40,8,1,2
B,8,C8,0,0,0,2
B,8,C9,0,0,0,2
B,8,C10,0,0,0,2
B,8,C11,0,0,0,2
B,8,C12,0,0,0,2
B,8,D1,56,14,1,2
B,8,D2,0,0,0,2
B,8,D3,0,0,0,2
B,8,D4,0,0,0,2
B,8,D5,0,0,0,2
B,8,D6,0,0,0,2
B,8,D7,0,0,0,2
B,8,D8,0,0,0,2
B,8,D9,0,0,0,2
B,8,D10,28,16,1,2
B,8,D11,58,87,1,2
B,8,D12,0,0,0,2
A,9,E1,0,0,0,2
A,9,E2,0,0,0,2
A,9,E3,0,0,0,2
A,9,E4,0,0,0,2
A,9,E5,0,0,0,2
A,9,E6,0,0,0,2
A,9,E7,0,0,0,2
A,9,E8,0,0,0,2
A,9,E9,0,0,0,2
A,9,E10,0,pupated,pupated,2
A,9,E11,0,pupated,pupated,2
A,9,E12,0,0,0,2
A,9,F1,0,0,0,2
A,9,F2,0,0,0,2
A,9,F3,0,0,0,2
A,9,F4,0,0,0,2
A,9,F5,0,0,0,2
A,9,F6,0,0,0,2
A,9,F7,0,0,0,2
A,9,F8,0,0,0,2
A,9,F9,0,pupated,pupated,2
A,9,F10,0,pupated,pupated,2
A,9,F11,0,0,0,2
A,9,F12,0,pupated,pupated,2
A,9,G1,0,0,0,2
A,9,G2,0,0,0,2
A,9,G3,0,0,0,2
A,9,G4,0,0,0,2
A,9,G5,0,0,0,2
A,9,G6,0,pupated,pupated,2
A,9,G7,0,0,0,2
A,9,G8,0,0,0,2
A,9,G9,0,pupated,pupated,2
A,9,G10,60,4,1,2
A,9,G11,pupated,pupated,pupated,2
A,9,G12,0,pupated,pupated,2
A,9,H1,0,0,0,2
A,9,H2,0,0,0,2
A,9,H3,0,0,0,2
A,9,H4,0,0,0,2
A,9,H5,56,68,1,2
A,9,H6,0,0,0,2
A,9,H7,0,0,0,2
A,9,H8,0,0,0,2
A,9,H9,0,0,0,2
A,9,H10,0,pupated,pupated,2
A,9,H11,0,0,0,2
A,9,H12,0,0,0,2
B,9,E1,0,0,0,2
B,9,E2,0,0,0,2
B,9,E3,0,0,0,2
B,9,E4,0,0,0,2
B,9,E5,0,0,0,2
B,9,E6,0,0,0,2
B,9,E7,0,0,0,2
B,9,E8,0,0,0,2
B,9,E9,0,0,0,2
B,9,E10,0,0,0,2
B,9,E11,0,0,0,2
B,9,E12,9,1,1,2
B,9,F1,0,0,0,2
B,9,F2,0,0,0,2
B,9,F3,17,2,1,2
B,9,F4,0,0,0,2
B,9,F5,0,0,0,2
B,9,F6,0,0,0,2
B,9,F7,0,0,0,2
B,9,F8,0,0,0,2
B,9,F9,0,0,0,2
B,9,F10,0,0,0,2
B,9,F11,0,0,0,2
B,9,F12,0,0,0,2
B,9,G1,0,0,0,2
B,9,G2,0,0,0,2
B,9,G3,0,0,0,2
B,9,G4,0,0,0,2
B,9,G5,0,0,0,2
B,9,G6,0,0,0,2
B,9,G7,0,0,0,2
B,9,G8,0,0,0,2
B,9,G9,0,0,0,2
B,9,G10,0,0,0,2
B,9,G11,0,0,0,2
B,9,G12,0,0,0,2
B,9,H1,0,0,0,2
B,9,H2,0,0,0,2
B,9,H3,0,0,0,2
B,9,H4,0,0,0,2
B,9,H5,0,0,0,2
B,9,H6,0,0,0,2
B,9,H7,0,0,0,2
B,9,H8,0,0,0,2
B,9,H9,0,0,0,2
B,9,H10,0,0,0,2
B,9,H11,0,0,0,2
B,9,H12,0,0,0,2
A,10,A1,0,0,0,2
A,10,A2,0,0,0,2
A,10,A3,0,0,0,2
A,10,A4,0,pupated,pupated,2
A,10,A5,0,0,0,2
A,10,A6,0,0,0,2
A,10,A7,0,pupated,pupated,2
A,10,A8,pupated,pupated,pupated,2
A,10,A9,0,0,0,2
A,10,A10,0,0,0,2
A,10,A11,0,0,0,2
A,10,A12,0,pupated,pupated,2
A,10,B1,0,0,0,2
A,10,B2,0,0,0,2
A,10,B3,0,pupated,pupated,2
A,10,B4,0,0,0,2
A,10,B5,0,0,0,2
A,10,B6,0,0,0,2
A,10,B7,0,0,0,2
A,10,B8,pupated,pupated,pupated,2
A,10,B9,0,0,0,2
A,10,B10,0,0,0,2
A,10,B11,0,pupated,pupated,2
A,10,B12,0,0,0,2
A,10,C1,0,0,0,2
A,10,C2,0,0,0,2
A,10,C3,0,0,0,2
A,10,C4,0,0,0,2
A,10,C5,0,0,0,2
A,10,C6,0,0,0,2
A,10,C7,0,0,0,2
A,10,C8,0,0,0,2
A,10,C9,0,0,0,2
A,10,C10,0,0,0,2
A,10,C11,0,pupated,pupated,2
A,10,C12,pupated,pupated,pupated,2
A,10,D1,0,0,0,2
A,10,D2,0,0,0,2
A,10,D3,0,0,0,2
A,10,D4,0,0,0,2
A,10,D5,0,0,0,2
A,10,D6,0,0,0,2
A,10,D7,0,0,0,2
A,10,D8,0,0,0,2
A,10,D9,0,0,0,2
A,10,D10,0,0,0,2
A,10,D11,pupated,pupated,pupated,2
A,10,D12,0,pupated,pupated,2
B,10,A1,0,0,0,2
B,10,A2,0,0,0,2
B,10,A3,0,0,0,2
B,10,A4,0,0,0,2
B,10,A5,0,0,0,2
B,10,A6,0,0,0,2
B,10,A7,0,pupated,pupated,2
B,10,A8,0,0,0,2
B,10,A9,0,0,0,2
B,10,A10,0,0,0,2
B,10,A11,0,0,0,2
B,10,A12,0,0,0,2
B,10,B1,0,0,0,2
B,10,B2,0,0,0,2
B,10,B3,0,0,0,2
B,10,B4,0,0,0,2
B,10,B5,0,0,0,2
B,10,B6,0,0,0,2
