colony,day_removed,id,gametocysts,oocysts,par_presence,experimental_repeat
B,10,B7,0,0,0,2
B,10,B8,0,0,0,2
B,10,B9,0,0,0,2
B,10,B10,0,0,0,2
B,10,B11,0,0,0,2
B,10,B12,0,0,0,2
B,10,C1,0,0,0,2
B,10,C2,0,0,0,2
B,10,C3,0,0,0,2
B,10,C4,0,pupated,pupated,2
B,10,C5,0,0,0,2
B,10,C6,0,0,0,2
B,10,C7,0,0,0,2
B,10,C8,0,0,0,2
B,10,C9,0,0,0,2
B,10,C10,0,0,0,2
B,10,C11,0,0,0,2
B,10,C12,0,0,0,2
B,10,D1,0,0,0,2
B,10,D2,0,0,0,2
B,10,D3,pupated,pupated,pupated,2
B,10,D4,2,11,1,2
B,10,D5,0,0,0,2
B,10,D6,0,0,0,2
B,10,D7,0,0,0,2
B,10,D8,0,0,0,2
B,10,D9,0,0,0,2
B,10,D10,0,0,0,2
B,10,D11,0,0,0,2
B,10,D12,0,0,0,2
A,11,E1,0,0,0,2
A,11,E2,0,0,0,2
A,11,E3,0,0,0,2
A,11,E4,0,0,0,2
A,11,E5,0,0,0,2
A,11,E6,0,0,0,2
A,11,E7,7,3,1,2
A,11,E8,0,0,0,2
A,11,E9,0,0,0,2
A,11,E10,0,0,0,2
A,11,E11,0,0,0,2
A,11,E12,0,pupated,pupated,2
A,11,F1,pupated,pupated,pupated,2
A,11,F2,0,0,0,2
A,11,F3,0,0,0,2
A,11,F4,0,0,0,2
A,11,F5,0,0,0,2
A,11,F6,0,0,0,2
A,11,F7,0,pupated,pupated,2
A,11,F8,0,0,0,2
A,11,F9,0,0,0,2
A,11,F10,0,0,0,2
A,11,F11,pupated,pupated,pupated,2
A,11,F12,0,0,0,2
A,11,G1,0,0,0,2
A,11,G2,0,pupated,pupated,2
A,11,G3,0,0,0,2
A,11,G4,pupated,pupated,pupated,2
A,11,G5,0,0,0,2
A,11,G6,pupated,pupated,pupated,2
A,11,G7,0,0,0,2
A,11,G8,0,0,0,2
A,11,G9,0,0,0,2
A,11,G10,0,0,0,2
A,11,G11,0,0,0,2
A,11,G12,0,0,0,2
A,11,H1,0,pupated,pupated,2
A,11,H2,pupated,pupated,pupated,2
A,11,H3,0,0,0,2
A,11,H4,0,0,0,2
A,11,H5,8,3,1,2
A,11,H6,0,0,0,2
A,11,H7,0,0,0,2
A,11,H8,0,0,0,2
A,11,H9,0,0,0,2
A,11,H10,0,0,0,2
A,11,H11,0,0,0,2
A,11,H12,0,0,0,2
B,11,E1,0,0,0,2
B,11,E2,0,0,0,2
B,11,E3,0,0,0,2
B,11,E4,0,0,0,2
B,11,E5,0,0,0,2
B,11,E6,0,0,0,2
B,11,E7,30,63,1,2
B,11,E8,0,0,0,2
B,11,E9,0,0,0,2
B,11,E10,0,0,0,2
B,11,E11,0,0,0,2
B,11,E12,0,0,0,2
B,11,F1,0,0,0,2
B,11,F2,0,0,0,2
B,11,F3,0,0,0,2
B,11,F4,0,pupated,pupated,2
B,11,F5,0,0,0,2
B,11,F6,201,39,1,2
B,11,F7,0,0,0,2
B,11,F8,0,0,0,2
B,11,F9,0,0,0,2
B,11,F10,0,0,0,2
B,11,F11,0,0,0,2
B,11,F12,0,0,0,2
B,11,G1,0,0,0,2
B,11,G2,pupated,pupated,pupated,2
B,11,G3,0,0,0,2
B,11,G4,0,0,0,2
B,11,G5,0,0,0,2
B,11,G6,0,0,0,2
B,11,G7,0,0,0,2
B,11,G8,0,0,0,2
B,11,G9,0,0,0,2
B,11,G10,0,pupated,pupated,2
B,11,G11,0,0,0,2
B,11,G12,0,0,0,2
B,11,H1,0,0,0,2
B,11,H2,0,0,0,2
B,11,H3,0,0,0,2
B,11,H4,0,0,0,2
B,11,H5,0,0,0,2
B,11,H6,228,56,1,2
B,11,H7,0,0,0,2
B,11,H8,0,0,0,2
B,11,H9,0,0,0,2
B,11,H10,12,27,1,2
B,11,H11,0,0,0,2
B,11,H12,0,0,0,2
