colony,day_removed,id,oocysts,par_presence,experimental_repeat
A,10,E5,0,0,3
A,10,E6,0,0,3
A,10,E7,0,0,3
A,10,E8,0,0,3
A,10,E9,0,0,3
A,10,E10,0,0,3
A,10,E11,0,0,3
A,10,E12,9,1,3
A,10,F1,0,0,3
A,10,F2,0,0,3
A,10,F3,0,0,3
A,10,F4,0,0,3
A,10,F5,0,0,3
A,10,F6,8,1,3
A,10,F7,0,0,3
A,10,F8,0,0,3
A,10,F9,0,0,3
A,10,F10,0,0,3
A,10,F11,0,0,3
A,10,F12,0,0,3
A,10,G1,0,0,3
A,10,G2,0,0,3
A,10,G3,0,0,3
A,10,G4,0,0,3
A,10,G5,0,0,3
A,10,G6,0,0,3
A,10,G7,0,0,3
A,10,G8,0,0,3
A,10,G9,0,0,3
A,10,G10,0,0,3
A,10,G11,0,0,3
A,10,G12,3,1,3
A,10,H1,0,0,3
A,10,H2,0,0,3
A,10,H3,0,0,3
A,10,H4,0,0,3
A,10,H5,0,0,3
A,10,H6,0,0,3
A,10,H7,0,0,3
A,10,H8,0,0,3
A,10,H9,0,0,3
A,10,H10,0,0,3
A,10,H11,1,1,3
A,10,H12,0,0,3
B,10,A1,0,0,3
B,10,A2,0,0,3
B,10,A3,0,0,3
B,10,A4,17,1,3
B,10,A5,0,0,3
B,10,A6,0,0,3
B,10,A7,0,0,3
B,10,A8,0,0,3
B,10,A9,16,1,3
B,10,A10,0,0,3
B,10,A11,0,0,3
B,10,A12,0,0,3
B,10,B1,0,0,3
B,10,B2,0,0,3
B,10,B3,0,0,3
B,10,B4,0,0,3
B,10,B5,20,1,3
B,10,B6,0,0,3
B,10,B7,0,0,3
B,10,B8,9,1,3
B,10,B9,2,1,3
B,10,B10,0,0,3
B,10,B11,0,0,3
B,10,B12,0,0,3
B,10,C1,0,0,3
B,10,C2,1,1,3
B,10,C3,0,0,3
B,10,C4,0,0,3
B,10,C5,0,0,3
B,10,C6,0,0,3
B,10,C7,1,1,3
B,10,C8,1,1,3
B,10,C9,0,0,3
B,10,C10,0,0,3
B,10,C11,0,0,3
B,10,C12,0,0,3
B,10,D1,18,1,3
B,10,D2,0,0,3
B,10,D3,0,0,3
B,10,D4,0,0,3
B,10,D5,0,0,3
B,10,D6,0,0,3
B,10,D7,2,1,3
B,10,D8,0,0,3
B,10,D9,0,0,3
B,10,D10,0,0,3
B,10,D11,0,0,3
B,10,D12,0,0,3
B,10,E1,7,1,3
B,10,E2,0,0,3
B,10,E3,0,0,3
B,10,E4,0,0,3
B,10,E5,0,0,3
B,10,E6,0,0,3
B,10,E7,0,0,3
B,10,E8,0,0,3
B,10,E9,0,0,3
B,10,E10,0,0,3
B,10,E11,0,0,3
B,10,E12,0,0,3
B,10,F1,0,0,3
B,10,F2,0,0,3
B,10,F3,0,0,3
B,10,F4,19,1,3
B,10,F5,0,0,3
B,10,F6,0,0,3
B,10,F7,0,0,3
B,10,F8,0,0,3
B,10,F9,0,0,3
B,10,F10,0,0,3
B,10,F11,0,0,3
B,10,F12,0,0,3
B,10,G1,0,0,3
B,10,G2,0,0,3
B,10,G3,0,0,3
B,10,G4,0,0,3
B,10,G5,0,0,3
B,10,G6,1,1,3
B,10,G7,0,0,3
B,10,G8,0,0,3
B,10,G9,0,0,3
B,10,G10,0,0,3
B,10,G11,10,1,3
B,10,G12,12,1,3
B,10,H1,0,0,3
B,10,H2,0,0,3
B,10,H3,0,0,3
B,10,H4,0,0,3
B,10,H5,0,0,3
B,10,H6,0,0,3
B,10,H7,0,0,3
B,10,H8,0,0,3
B,10,H9,0,0,3
B,10,H10,3,1,3
B,10,H11,5,1,3
B,10,H12,0,0,3
A,11,A1,0,0,3
A,11,A2,0,0,3
A,11,A3,0,0,3
A,11,A4,2,1,3
A,11,A5,35,1,3
A,11,A6,1,1,3
A,11,A7,0,0,3
A,11,A8,0,0,3
A,11,A9,0,0,3
A,11,A10,0,0,3
A,11,A11,0,0,3
A,11,A12,0,0,3
A,11,B1,0,0,3
A,11,B2,0,0,3
A,11,B3,0,0,3
A,11,B4,17,1,3
A,11,B5,0,0,3
A,11,B6,0,0,3
A,11,B7,0,0,3
A,11,B8,0,0,3
A,11,B9,0,0,3
A,11,B10,0,0,3
A,11,B11,0,0,3
A,11,B12,0,0,3
A,11,C1,0,0,3
A,11,C2,0,0,3
A,11,C3,2,1,3
A,11,C4,0,0,3
A,11,C5,0,0,3
A,11,C6,0,0,3
A,11,C7,0,0,3
A,11,C8,0,0,3
A,11,C9,0,0,3
A,11,C10,0,0,3
A,11,C11,0,0,3
A,11,C12,0,0,3
A,11,D1,0,0,3
A,11,D2,0,0,3
A,11,D3,2,1,3
A,11,D4,5,1,3
