"colony","group","day_removed","day_dissected","id","trophont","gamont","gut_gametocyst","par_presence","experimental_repeat"
"A","experimental",5,7,"C5","0","0","0","0",1
"A","experimental",5,7,"C6","0","0","0","0",1
"A","experimental",5,7,"C7","0","0","0","0",1
"A","experimental",5,7,"C8","0","0","0","0",1
"A","experimental",5,7,"C9","0","0","0","0",1
"A","experimental",5,7,"C10","0","0","0","0",1
"A","experimental",5,7,"C11","0","0","0","0",1
"A","experimental",5,7,"C12","0","0","0","0",1
"A","experimental",5,7,"D1","0","0","0","0",1
"A","experimental",5,7,"D2","0","0","0","0",1
"A","experimental",5,7,"D3","0","0","0","0",1
"A","experimental",5,7,"D4","0","0","0","0",1
"A","experimental",5,7,"D5","6","0","0","1",1
"A","experimental",5,7,"D6","dead","dead","dead","dead",1
"A","experimental",5,7,"D7","66","0","0","1",1
"A","experimental",5,7,"D8","0","0","0","0",1
"A","experimental",5,7,"D9","0","0","0","0",1
"A","experimental",5,7,"D10","0","1","0","1",1
"A","experimental",5,7,"D11","0","0","0","0",1
"A","experimental",5,7,"D12","0","0","0","0",1
"A","control",5,7,"B1","0","0","0","0",1
"A","control",5,7,"B2","0","0","0","0",1
"A","control",5,7,"B3","0","0","0","0",1
"A","control",5,7,"B4","0","0","0","0",1
"A","control",5,7,"B5","0","0","0","0",1
"A","control",5,7,"B6","0","0","0","0",1
"A","control",5,7,"B7","0","0","0","0",1
"A","control",5,7,"B8","0","0","0","0",1
"A","control",5,7,"B9","0","0","0","0",1
"A","control",5,7,"B10","0","0","0","0",1
"A","control",5,7,"B11","0","0","0","0",1
"A","control",5,7,"B12","0","0","0","0",1
"B","experimental",6,8,"E1","0","0","0","0",1
"B","experimental",6,8,"E2","27","0","0","1",1
"B","experimental",6,8,"E3","1","0","0","1",1
"B","experimental",6,8,"E4","0","0","0","0",1
"B","experimental",6,8,"E5","1","0","0","1",1
"B","experimental",6,8,"E6","6","1","0","1",1
"B","experimental",6,8,"E7","0","0","0","0",1
"B","experimental",6,8,"E8","0","0","0","0",1
"B","experimental",6,8,"E9","0","0","0","0",1
"B","experimental",6,8,"E10","0","0","0","0",1
"B","experimental",6,8,"E11","10","1","0","1",1
"B","experimental",6,8,"E12","0","0","0","0",1
"B","experimental",6,8,"F1","0","0","0","0",1
"B","experimental",6,8,"F2","1","0","0","1",1
"B","experimental",6,8,"F3","232","0","0","1",1
"B","experimental",6,8,"F4","0","0","0","0",1
"B","experimental",6,8,"F5","106","0","0","1",1
"B","experimental",6,8,"F6","7","0","0","1",1
"B","experimental",6,8,"F7","6","2","0","1",1
"B","experimental",6,8,"F8","645","2","0","1",1
"B","experimental",6,8,"F9","31","0","0","1",1
"B","experimental",6,8,"F10","0","0","0","0",1
"B","experimental",6,8,"F11","7","0","0","1",1
"B","experimental",6,8,"F12","0","0","0","0",1
