treatment,replicate_no,dissection_no,id,trophont,gamont,gut_gametocyst,par_presence
E,1,1,C4,4,0,0,1
E,1,1,C5,0,0,0,0
E,1,1,C6,0,0,0,0
E,1,1,C7,0,0,0,0
E,1,1,C8,10,0,0,1
E,1,1,C9,12,0,0,1
E,1,1,C10,17,0,0,1
B,2,1,D1,0,0,0,0
B,2,1,D2,0,0,0,0
B,2,1,D3,0,0,0,0
B,2,1,D4,33,0,0,1
B,2,1,D5,0,0,0,0
B,2,1,D6,35,0,0,1
B,2,1,D7,2,0,0,1
B,2,1,D8,42,0,0,1
B,2,1,D9,49,0,0,1
B,2,1,D10,7,0,0,1
E,2,1,E1,20,0,0,1
E,2,1,E2,30,0,0,1
E,2,1,E3,27,0,0,1
E,2,1,E4,0,0,0,0
E,2,1,E5,51,0,0,1
E,2,1,E6,17,0,0,1
E,2,1,E7,6,0,0,1
E,2,1,E8,13,0,0,1
E,2,1,E9,10,0,0,1
E,2,1,E10,0,0,0,0
E,4,1,F1,21,0,0,1
E,4,1,F2,18,0,0,1
E,4,1,F3,3,0,0,1
E,4,1,F4,16,0,0,1
E,4,1,F5,0,0,0,0
E,4,1,F6,34,0,0,1
E,4,1,F7,0,0,0,0
E,4,1,F8,32,0,0,1
E,4,1,F9,0,0,0,0
E,4,1,F10,23,0,0,1
C,3,1,G1,0,0,0,0
C,3,1,G2,0,0,0,0
C,3,1,G3,14,0,0,1
C,3,1,G4,0,0,0,0
C,3,1,G5,0,0,0,0
C,3,1,G6,0,0,0,0
C,3,1,G7,26,0,0,1
C,3,1,G8,0,0,0,0
C,3,1,G9,7,0,0,1
C,3,1,G10,0,0,0,0
E,5,1,H1,3,0,0,1
E,5,1,H2,0,0,0,0
E,5,1,H3,0,0,0,0
E,5,1,H4,15,0,0,1
E,5,1,H5,0,0,0,0
E,5,1,H6,4,0,0,1
E,5,1,H7,52,0,0,1
E,5,1,H8,0,0,0,0
E,5,1,H9,1,0,0,1
E,5,1,H10,0,0,0,0
A,3,1,A12,0,0,0,0
A,3,1,B12,11,0,0,1
A,3,1,C12,4,0,0,1
A,3,1,D12,0,0,0,0
A,3,1,E12,0,0,0,0
A,3,1,F12,0,0,0,0
A,3,1,G12,0,0,0,0
A,3,1,H12,1,0,0,1
A,3,1,A11,0,0,0,0
A,3,1,B11,0,0,0,0
E,2,2,A1,199,0,0,1
E,2,2,A2,159,0,1,1
E,2,2,A3,135,8,15,1
E,2,2,A4,61,0,0,1
E,2,2,A5,0,0,0,0
E,2,2,A6,14,0,0,1
E,2,2,A7,0,0,0,0
E,2,2,A8,208,0,0,1
E,2,2,A9,21,0,0,1
E,2,2,A10,0,0,0,0
D,3,2,B1,6,0,0,1
D,3,2,B2,1,0,0,1
D,3,2,B3,0,0,0,0
D,3,2,B4,0,0,0,0
D,3,2,B5,9,0,0,1
D,3,2,B6,0,0,0,0
D,3,2,B7,0,0,0,0
D,3,2,B8,62,0,0,1
D,3,2,B9,3,0,0,1
D,3,2,B10,0,0,0,0
A,2,2,C1,52,2,3,1
A,2,2,C2,67,0,0,1
A,2,2,C3,0,0,0,0
A,2,2,C4,186,0,0,1
A,2,2,C5,0,0,0,0
A,2,2,C6,0,0,0,0
A,2,2,C7,202,0,0,1
A,2,2,C8,0,0,0,0
A,2,2,C9,170,0,3,1
A,2,2,C10,0,0,0,0
D,4,2,D1,128,3,22,1
D,4,2,D2,17,0,0,1
D,4,2,D3,0,0,0,0
D,4,2,D4,0,0,0,0
D,4,2,D5,0,0,0,0
D,4,2,D6,1,0,0,1
D,4,2,D7,0,0,0,0
D,4,2,D8,92,0,3,1
D,4,2,D9,1,0,0,1
D,4,2,D10,43,0,1,1
C,2,2,E1,1,0,0,1
C,2,2,E2,0,0,0,0
C,2,2,E3,9,0,0,1
C,2,2,E4,0,0,0,0
C,2,2,E5,8,0,0,1
C,2,2,E6,0,0,0,0
C,2,2,E7,44,0,0,1
C,2,2,E8,0,0,0,0
C,2,2,E9,0,0,0,0
C,2,2,E10,0,0,0,0
A,1,2,F1,0,0,0,0
A,1,2,F2,0,0,0,0
A,1,2,F3,0,0,0,0
A,1,2,F4,0,0,0,0
A,1,2,F5,0,0,0,0
A,1,2,F6,0,0,0,0
A,1,2,F7,0,0,0,0
A,1,2,F8,0,0,1,1
A,1,2,F9,0,0,0,0
A,1,2,F10,0,0,0,0
D,1,2,G1,231,0,0,1
D,1,2,G2,0,0,0,0
D,1,2,G3,14,0,0,1
D,1,2,G4,58,0,0,1
D,1,2,G5,5,0,0,1
D,1,2,G6,11,0,0,1
D,1,2,G7,86,0,0,1
D,1,2,G8,0,0,0,0
D,1,2,G9,139,3,15,1
D,1,2,G10,0,0,0,0
E,5,2,H1,0,0,0,0
E,5,2,H2,104,0,0,1
E,5,2,H3,0,0,0,0
E,5,2,H4,0,0,0,0
E,5,2,H5,255,11,28,1
E,5,2,H6,0,0,0,0
E,5,2,H7,7,0,3,1
E,5,2,H8,24,0,0,1
E,5,2,H9,81,0,0,1
E,5,2,H10,7,0,0,1
B,1,2,A1,2,0,0,1
B,1,2,A2,94,0,1,1
B,1,2,A3,15,0,0,1
B,1,2,A4,117,0,2,1
B,1,2,A5,10,0,0,1
B,1,2,A6,5,0,0,1
B,1,2,A7,61,0,0,1
B,1,2,A8,0,0,0,0
B,1,2,A9,0,0,0,0
B,1,2,A10,0,0,0,0
C,3,2,B1,0,0,0,0
C,3,2,B2,0,0,0,0
C,3,2,B3,73,0,19,1
C,3,2,B4,0,0,0,0
C,3,2,B5,0,0,0,0
C,3,2,B6,0,0,0,0
C,3,2,B7,0,0,0,0
C,3,2,B8,0,0,0,0
C,3,2,B9,0,0,0,0
C,3,2,B10,4,0,0,1
D,5,2,C1,46,0,0,1
D,5,2,C2,0,0,0,0
D,5,2,C3,116,0,19,1
D,5,2,C4,0,0,0,0
D,5,2,C5,0,0,0,0
D,5,2,C6,0,0,0,0
D,5,2,C7,7,2,0,1
D,5,2,C8,0,0,0,0
D,5,2,C9,0,0,0,0
D,5,2,C10,0,0,0,0
B,2,2,D1,10,0,0,1
B,2,2,D2,272,0,0,1
B,2,2,D3,0,0,0,0
B,2,2,D4,0,0,0,0
B,2,2,D5,0,0,0,0
B,2,2,D6,65,0,0,1
B,2,2,D7,0,0,0,0
B,2,2,D8,127,0,7,1
B,2,2,D9,0,0,0,0
B,2,2,D10,0,0,0,0
E,4,2,E1,0,0,0,0
E,4,2,E2,0,0,0,0
E,4,2,E3,43,0,0,1
E,4,2,E4,0,0,0,0
E,4,2,E5,0,0,0,0
